,Name,Album,Artist
0,Disgusted,Disgusted,W̩ Ani
1,Either Way,From A Room: Volume 1,Chris Stapleton
2,high road,chemistry,Kelly Clarkson
3,me,chemistry,Kelly Clarkson
4,Always Remember Us This Way,"Unplugged, Vol. 1 (Live)",Lauren Spencer Smith
5,Used to Be Mine (Live),"Unplugged, Vol. 1 (Live)",Lauren Spencer Smith
6,Lose You To Love Me,Rare,Selena Gomez
7,End Like This,Things I Chose To Remember,Rhys Lewis
8,leave me,leave me,anees
9,I Fall Apart,Stoney (Deluxe),Post Malone
10,Easy On Me,30,Adele
11,Flowers,Flowers,Lauren Spencer Smith
12,What He Didn't Do,29: Written In Stone,Carly Pearce
13,Maybe Next Time,Maybe Next Time,Jamie Miller
14,In The Stars,In The Stars,Benson Boone
15,Needed Me,ANTI (Deluxe),Rihanna
16,Without Me,Manic,Halsey
17,Hurt,Back To Basics,Christina Aguilera
18,Hate Me (with Juice WRLD),Hate Me (with Juice WRLD),Ellie Goulding
19,Find Me At The Bar,Find Me At The Bar,Gremlin
20,Separate Ways (Worlds Apart) - Stripped Down,Separate Ways (Worlds Apart) [Stripped Down],Daughtry
21,i'm sorry,i'm sorry,Camylio
22,Missin It,Side A,Inayah
23,Nobody Gets Me,SOS,SZA
24,"Psycho, Pt. 2","Psycho, Pt. 2",Russ
25,Be Alright,A Place We Knew,Dean Lewis
26,Let Me Down Slowly,Narrated For You,Alec Benjamin
27,Train Wreck,Back from the Edge,James Arthur
28,CIVIL WAR - Bonus,SHAKE THE SNOW GLOBE,Russ
